DATASET_SIMPLEBAR
SEPARATOR COMMA
DATASET_LABEL,FPKM
COLOR,#ff0000
DATA
80,4.4982500000000005
131,4.4982500000000005
144,4.4982500000000005
300,4.4982500000000005
165,4.4982500000000005
22,28.533168999999997
141,4.4982500000000005
304,4.4982500000000005
230,4.4982500000000005
240,4.4982500000000005
173,4.4982500000000005
213,4.4982500000000005
233,4.4982500000000005
277,4.4982500000000005
241,4.4982500000000005
145,4.4982500000000005
164,4.4982500000000005
112,4.4982500000000005
130,4.4982500000000005
74,4.4982500000000005
98,4.4982500000000005
221,4.4982500000000005
78,6.04657
32,5.346291000000001
250,4.4982500000000005
226,4.4982500000000005
132,5.457839
255,4.4982500000000005
77,4.4982500000000005
273,4.4982500000000005
254,4.4982500000000005
278,4.4982500000000005
253,4.4982500000000005
219,4.4982500000000005
111,107.727704
75,4.4982500000000005
13,4.4982500000000005
41,11.492419000000002
120,4.4982500000000005
61,4.4982500000000005
11,7.452159999999999
102,4.4982500000000005
142,4.4982500000000005
71,4.4982500000000005
105,4.4982500000000005
122,4.4982500000000005
103,4.4982500000000005
228,4.4982500000000005
19,5.346291000000001
70,4.4982500000000005
287,4.4982500000000005
200,20.64613
290,4.4982500000000005
207,4.4982500000000005
196,4.4982500000000005
64,4.4982500000000005
53,4.4982500000000005
62,4.4982500000000005
115,4.4982500000000005
260,4.4982500000000005
136,4.4982500000000005
172,4.4982500000000005
137,4.4982500000000005
201,4.4982500000000005
114,4.4982500000000005
282,4.4982500000000005
86,4.4982500000000005
153,4.4982500000000005
134,4.4982500000000005
275,4.4982500000000005
162,4.4982500000000005
92,4.4982500000000005
54,4.4982500000000005
263,4.4982500000000005
60,4.4982500000000005
167,4.4982500000000005
16,17.53106
220,4.4982500000000005
6,4.4982500000000005
1,4.4982500000000005
171,4.4982500000000005
27,9.175254
97,4.4982500000000005
25,5.346291000000001
66,6.575850000000001
7,4.4982500000000005
40,5.346291000000001
186,4.4982500000000005
303,4.4982500000000005
311,4.4982500000000005
231,4.4982500000000005
15,12.771787
128,5.457839
234,4.4982500000000005
266,4.4982500000000005
180,4.4982500000000005
143,4.4982500000000005
47,4.4982500000000005
51,4.4982500000000005
43,5.346291000000001
299,4.4982500000000005
31,5.346291000000001
127,4.4982500000000005
261,4.4982500000000005
182,4.4982500000000005
87,4.4982500000000005
148,4.4982500000000005
262,4.4982500000000005
166,4.4982500000000005
276,4.4982500000000005
95,5.346291000000001
73,4.4982500000000005
279,4.4982500000000005
283,4.4982500000000005
50,4.4982500000000005
286,4.4982500000000005
194,4.4982500000000005
292,4.4982500000000005
218,4.4982500000000005
116,11.181189000000002
212,4.4982500000000005
156,4.4982500000000005
257,4.4982500000000005
227,4.4982500000000005
104,7.16195
118,6.575850000000001
269,4.4982500000000005
170,4.4982500000000005
29,5.346291000000001
205,4.4982500000000005
159,4.4982500000000005
146,4.4982500000000005
133,8.13931
124,4.4982500000000005
306,4.4982500000000005
160,4.4982500000000005
3,31.18832
58,4.4982500000000005
94,4.4982500000000005
208,4.4982500000000005
135,4.4982500000000005
239,4.4982500000000005
198,4.4982500000000005
197,4.4982500000000005
84,4.4982500000000005
280,4.4982500000000005
157,4.4982500000000005
298,4.4982500000000005
152,4.4982500000000005
312,4.4982500000000005
270,4.4982500000000005
100,9.70852
169,4.4982500000000005
109,8.56737
63,4.4982500000000005
59,4.4982500000000005
45,4.4982500000000005
274,4.4982500000000005
232,4.4982500000000005
72,8.47278
229,4.4982500000000005
272,4.4982500000000005
297,4.4982500000000005
150,4.4982500000000005
12,7.452159999999999
285,4.4982500000000005
176,4.4982500000000005
258,4.4982500000000005
5,4.4982500000000005
101,7.98165
139,4.4982500000000005
138,4.4982500000000005
211,4.4982500000000005
83,4.4982500000000005
302,4.4982500000000005
17,4.4982500000000005
90,4.4982500000000005
191,4.4982500000000005
309,24.984957
251,4.4982500000000005
305,4.4982500000000005
291,4.4982500000000005
8,4.4982500000000005
307,4.4982500000000005
9,4.4982500000000005
117,6.28449
301,4.4982500000000005
248,4.4982500000000005
149,4.4982500000000005
20,5.346291000000001
89,4.4982500000000005
224,4.4982500000000005
93,4.4982500000000005
246,5.457839
242,4.4982500000000005
265,4.4982500000000005
215,4.4982500000000005
187,4.4982500000000005
34,5.346291000000001
30,6.575850000000001
206,4.4982500000000005
225,4.4982500000000005
88,4.4982500000000005
259,4.4982500000000005
236,4.4982500000000005
237,4.4982500000000005
38,5.346291000000001
155,4.4982500000000005
235,4.4982500000000005
107,4.4982500000000005
151,4.4982500000000005
217,4.4982500000000005
36,6.160757
96,8.56737
125,4.4982500000000005
296,4.4982500000000005
195,4.4982500000000005
91,4.4982500000000005
223,4.4982500000000005
202,4.4982500000000005
57,5.17419
268,4.4982500000000005
161,4.4982500000000005
65,10.071386
49,4.4982500000000005
192,4.4982500000000005
252,4.4982500000000005
113,4.4982500000000005
81,6.04657
